Kode Kemendagri,Kabupaten,Provinsi,Ibu Kota,Kecamatan,Kelurahan/Desa
33.03,Kabupaten Purbalingga,Jawa Tengah,Purbalingga,18,239
32.14,Kabupaten Purwakarta,Jawa Barat,Purwakarta,17,192
33.06,Kabupaten Purworejo,Jawa Tengah,Purworejo,16,494
92.05,Kabupaten Raja Ampat,Papua Barat Daya,Waisai,24,121
17.02,Kabupaten Rejang Lebong,Bengkulu,Curup,15,156
33.17,Kabupaten Rembang,Jawa Tengah,Rembang,14,294
14.07,Kabupaten Rokan Hilir,Riau,Ujung Tanjung/Bagan Siapi-api,15,184
14.06,Kabupaten Rokan Hulu,Riau,Pasir Pengaraian,16,145
53.14,Kabupaten Rote Ndao,Nusa Tenggara Timur,Baa,10,119
53.20,Kabupaten Sabu Raijua,Nusa Tenggara Timur,Seba,6,63
61.01,Kabupaten Sambas,Kalimantan Barat,Sambas,19,193
12.17,Kabupaten Samosir,Sumatra Utara,Pangururan,9,134
35.27,Kabupaten Sampang,Jawa Timur,Sampang,14,186
61.03,Kabupaten Sanggau,Kalimantan Barat,Sanggau,15,169
91.10,Kabupaten Sarmi,Papua,Sarmi,10,94
15.03,Kabupaten Sarolangun,Jambi,Sarolangun,10,158
61.09,Kabupaten Sekadau,Kalimantan Barat,Sekadau,7,87
17.05,Kabupaten Seluma,Bengkulu,Tais,14,202
33.22,Kabupaten Semarang,Jawa Tengah,Ungaran,19,235
81.06,Kabupaten Seram Bagian Barat,Maluku,Piru (de facto),11,92
81.05,Kabupaten Seram Bagian Timur,Maluku,Bula (de facto),15,198
36.04,Kabupaten Serang,Banten,Ciruas,29,326
12.18,Kabupaten Serdang Bedagai,Sumatra Utara,Sei Rampah,17,243
62.07,Kabupaten Seruyan,Kalimantan Tengah,Kuala Pembuang,10,100
14.08,Kabupaten Siak,Riau,Siak Sri Indrapura,14,131
73.14,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Pangkajene Sidenreng,11,106
35.15,Kabupaten Sidoarjo,Jawa Timur,Sidoarjo,18,353
72.10,Kabupaten Sigi,Sulawesi Tengah,Sigi Biromaru,15,176
13.03,Kabupaten Sijunjung,Sumatra Barat,Muaro Sijunjung,8,61
53.07,Kabupaten Sikka,Nusa Tenggara Timur,Maumere,21,160
12.08,Kabupaten Simalungun,Sumatra Utara,Raya,32,413
11.09,Kabupaten Simeulue,Aceh,Sinabang,10,138
73.07,Kabupaten Sinjai,Sulawesi Selatan,Sinjai,9,80
61.05,Kabupaten Sintang,Kalimantan Barat,Sintang,14,406
